id,label,
100,Bulgaria,
104,Myanmar,
108,Burundi,
112,Belarus,
116,Cambodia,
12,Algeria,
120,Cameroon,
124,Canada,
132,Cabo Verde,
136,Cayman Isds,
140,Central African Rep.,
144,Sri Lanka,
148,Chad,
152,Chile,
156,China,
170,Colombia,
174,Comoros,
175,Mayotte,
178,Congo,
180,Dem. Rep. of the Congo,
184,Cook Isds,
188,Costa Rica,
191,Croatia,
192,Cuba,
196,Cyprus,
20,Andorra,
200,Czechoslovakia,
203,Czechia,
204,Benin,
208,Denmark,
212,Dominica,
214,Dominican Rep.,
218,Ecuador,
222,El Salvador,
226,Equatorial Guinea,
230,Fmr Ethiopia,
231,Ethiopia,
232,Eritrea,
233,Estonia,
234,Faeroe Isds,
238,Falkland Isds (Malvinas),
24,Angola,
242,Fiji,
246,Finland,
251,France,
254,French Guiana,
258,French Polynesia,
262,Djibouti,
266,Gabon,
268,Georgia,
270,Gambia,
275,State of Palestine,
276,Germany,
278,Fmr Dem. Rep. of Germany,
28,Antigua and Barbuda,
280,Fmr Fed. Rep. of Germany,
288,Ghana,
292,Gibraltar,
296,Kiribati,
300,Greece,
304,Greenland,
308,Grenada,
31,Azerbaijan,
312,Guadeloupe,
32,Argentina,
320,Guatemala,
324,Guinea,
328,Guyana,
332,Haiti,
336,Holy See (Vatican City State),
340,Honduras,
344,China, Hong Kong SAR
348,Hungary,
352,Iceland,
356,India, excl. Sikkim
36,Australia,
360,Indonesia,
364,Iran,
368,Iraq,
372,Ireland,
376,Israel,
381,Italy,
384,C么te d'Ivoire,
388,Jamaica,
392,Japan,
398,Kazakhstan,
4,Afghanistan,
40,Austria,
400,Jordan,
404,Kenya,
408,Dem. People's Rep. of Korea,
410,Rep. of Korea,
414,Kuwait,
417,Kyrgyzstan,
418,Lao People's Dem. Rep.,
422,Lebanon,
426,Lesotho,
428,Latvia,
430,Liberia,
434,Libya,
44,Bahamas,
440,Lithuania,
442,Luxembourg,
446,China, Macao SAR
450,Madagascar,
454,Malawi,
457,Sarawak,
458,Malaysia,
459,Peninsula Malaysia,
461,Sabah,
462,Maldives,
466,Mali,
470,Malta,
474,Martinique,
478,Mauritania,
48,Bahrain,
480,Mauritius,
484,Mexico,
490,Other Asia, nes
496,Mongolia,
498,Rep. of Moldova,
499,Montenegro,
50,Bangladesh,
500,Montserrat,
504,Morocco,
508,Mozambique,
51,Armenia,
512,Oman,
516,Namibia,
52,Barbados,
524,Nepal,
528,Netherlands,
530,Neth. Antilles,
531,Cura莽ao,
532,Neth. Antilles and Aruba,
533,Aruba,
534,Saint Maarten,
535,Bonaire,
540,New Caledonia,
548,Vanuatu,
554,New Zealand,
558,Nicaragua,
56,Belgium,
562,Niger,
566,Nigeria,
579,Norway,
58,Belgium-Luxembourg,
580,N. Mariana Isds,
582,Fmr Pacific Isds,
583,FS Micronesia,
584,Marshall Isds,
585,Palau,
586,Pakistan,
588,East and West Pakistan,
590,Fmr Panama, excl.Canal Zone
591,Panama,
592,Fmr Panama-Canal-Zone,
598,Papua New Guinea,
60,Bermuda,
600,Paraguay,
604,Peru,
608,Philippines,
616,Poland,
620,Portugal,
624,Guinea-Bissau,
626,Timor-Leste,
634,Qatar,
638,R茅union,
64,Bhutan,
642,Romania,
643,Russian Federation,
646,Rwanda,
647,Ryukyu Isd,
652,Saint Barthelemy,
654,Saint Helena,
658,Saint Kitts, Nevis and Anguilla
659,Saint Kitts and Nevis,
660,Anguilla,
662,Saint Lucia,
666,Saint Pierre and Miquelon,
670,Saint Vincent and the Grenadines,
674,San Marino,
678,Sao Tome and Principe,
68,Bolivia (Plurinational State of),
682,Saudi Arabia,
686,Senegal,
688,Serbia,
690,Seychelles,
694,Sierra Leone,
699,India,
70,Bosnia Herzegovina,
702,Singapore,
703,Slovakia,
704,Viet Nam,
705,Slovenia,
706,Somalia,
710,South Africa,
711,So. African Customs Union,
716,Zimbabwe,
717,Fmr Rhodesia Nyas,
72,Botswana,
720,Fmr Dem. Yemen,
724,Spain,
728,South Sudan,
729,Sudan,
736,Fmr Sudan,
740,Suriname,
748,Eswatini,
752,Sweden,
757,Switzerland,
76,Brazil,
760,Syria,
762,Tajikistan,
764,Thailand,
768,Togo,
772,Tokelau,
776,Tonga,
780,Trinidad and Tobago,
784,United Arab Emirates,
788,Tunisia,
792,Turkey,
795,Turkmenistan,
796,Turks and Caicos Isds,
798,Tuvalu,
8,Albania,
800,Uganda,
804,Ukraine,
807,North Macedonia,
810,Fmr USSR,
818,Egypt,
826,United Kingdom,
834,United Rep. of Tanzania,
835,Fmr Tanganyika,
836,Fmr Zanzibar and Pemba Isd,
84,Belize,
841,USA (before 1981),
842,USA,
850,US Virgin Isds,
854,Burkina Faso,
858,Uruguay,
860,Uzbekistan,
862,Venezuela,
866,Fmr Dem. Rep. of Vietnam,
868,Fmr Rep. of Vietnam,
876,Wallis and Futuna Isds,
882,Samoa,
886,Fmr Arab Rep. of Yemen,
887,Yemen,
890,Fmr Yugoslavia,
891,Serbia and Montenegro,
894,Zambia,
90,Solomon Isds,
92,Br. Virgin Isds,
96,Brunei Darussalam,
97,EU-28,
975,ASEAN,
all,All,
